# RTL_ID 20111300
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: scall.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   00001000   ---        --------
               6   N   00001000   0000e101   00001004   x10_a0     00000000
               7   N   00001004   00000293   00001006   ---        --------
               8   N   00001006   e1018f63   0000100a   x05_t0     00000000
              10   N   0000100a   00009073   00001028   ---        --------
              13   N   00001028   00006509   0000102c   ---        --------
              14   N   0000102c   00006509   0000102c   ---        --------
              15   N   0000102c   80050513   0000102e   x10_a0     00002000
              16   N   0000102e   65092073   00001032   x10_a0     00001800
              18   N   00001032   80050297   00001036   ---        --------
              19   N   00001036   00000297   00001036   ---        --------
              20   N   00001036   30058293   0000103a   x05_t0     00001036
              22   N   0000103a   00009073   0000103e   x05_t0     00001060
              24   N   0000103e   02a22573   00001042   ---        --------
              26   N   00001042   34120073   00001046   x10_a0     00000000
              29   N   00001046   00000000   00001060   ---        --------
              32   N   00001060   00004321   00001062   x28_t3     00000002
              33   N   00001062   00006289   00001064   x06_t1     00000008
              34   N   00001064   80028293   00001066   x05_t0     00002000
              35   N   00001066   6289b073   0000106a   x05_t0     00001800
              37   N   0000106a   800223f3   0000106e   ---        --------
              38   N   0000106e   300023f3   0000106e   ---        --------
              39   N   0000106e   3002f2b3   00001072   x07_t2     00001880
              41   N   00001072   30008363   00001076   x05_t0     00001800
              43   N   00001076   0000432d   0000107a   ---        --------
              44   N   0000107a   00006289   0000107c   x06_t1     0000000b
              45   N   0000107c   80028293   0000107e   x05_t0     00002000
              46   N   0000107e   6289b073   00001082   x05_t0     00001800
              48   N   00001082   80020297   00001086   ---        --------
              49   N   00001086   00000297   00001086   ---        --------
              50   N   00001086   30028293   0000108a   x05_t0     00001086
              52   N   0000108a   00009073   0000108e   x05_t0     00001096
              54   N   0000108e   01020073   00001092   ---        --------
              57   N   00001092   00004e05   00001096   ---        --------
              60   N   00001096   00000073   00001098   x28_t3     00000001
              61   E   00001098   0000a019   00000680   mstatus    00001880
              61   E   00001098   0000a019   00000680   mepc       00001098
              61   E   00001098   0000a019   00000680   mcause     0000000b
              61   E   00001098   0000a019   00000680   mtval      00000000
              64   N   00000680   000047ad   00000684   x14_a4     0000000b
              65   N   00000684   02f70663   00000686   x15_a5     0000000b
              66   N   00000686   000047a1   000006b2   ---        --------
              70   N   000006b2   06630713   000006b6   x14_a4     000016b2
              72   N   000006b6   000007b7   000006ba   x14_a4     00001120
              74   N   000006ba   a6e70803   000006be   x15_a5     f0000000
              77   N   000006be   00080763   000006c2   x16_a6     00000045
              78   N   000006c2   00078023   000006c6   ---        --------
              81   N   000006c6   00000705   000006ca   ---        --------
              82   N   000006ca   0000bfcd   000006cc   x14_a4     00001121
              83   N   000006cc   00004505   000006be   ---        --------
              88   N   000006be   00080763   000006c2   x16_a6     0000006e
              89   N   000006c2   00078023   000006c6   ---        --------
              92   N   000006c6   00000705   000006ca   ---        --------
              93   N   000006ca   0000bfcd   000006cc   x14_a4     00001122
              94   N   000006cc   00004505   000006be   ---        --------
              99   N   000006be   00080763   000006c2   x16_a6     00000076
             100   N   000006c2   00078023   000006c6   ---        --------
             103   N   000006c6   00000705   000006ca   ---        --------
             104   N   000006ca   0000bfcd   000006cc   x14_a4     00001123
             105   N   000006cc   00004505   000006be   ---        --------
             110   N   000006be   00080763   000006c2   x16_a6     00000043
             111   N   000006c2   00078023   000006c6   ---        --------
             114   N   000006c6   00000705   000006ca   ---        --------
             115   N   000006ca   0000bfcd   000006cc   x14_a4     00001124
             116   N   000006cc   00004505   000006be   ---        --------
             121   N   000006be   00080763   000006c2   x16_a6     00000061
             122   N   000006c2   00078023   000006c6   ---        --------
             125   N   000006c6   00000705   000006ca   ---        --------
             126   N   000006ca   0000bfcd   000006cc   x14_a4     00001125
             127   N   000006cc   00004505   000006be   ---        --------
             132   N   000006be   00080763   000006c2   x16_a6     0000006c
             133   N   000006c2   00078023   000006c6   ---        --------
             136   N   000006c6   00000705   000006ca   ---        --------
             137   N   000006ca   0000bfcd   000006cc   x14_a4     00001126
             138   N   000006cc   00004505   000006be   ---        --------
             143   N   000006be   00080763   000006c2   x16_a6     0000006c
             144   N   000006c2   00078023   000006c6   ---        --------
             147   N   000006c6   00000705   000006ca   ---        --------
             148   N   000006ca   0000bfcd   000006cc   x14_a4     00001127
             149   N   000006cc   00004505   000006be   ---        --------
             154   N   000006be   00080763   000006c2   x16_a6     0000000a
             155   N   000006c2   00078023   000006c6   ---        --------
             158   N   000006c6   00000705   000006ca   ---        --------
             159   N   000006ca   0000bfcd   000006cc   x14_a4     00001128
             160   N   000006cc   00004505   000006be   ---        --------
             165   N   000006be   00080763   000006c2   x16_a6     00000000
             166   N   000006c2   00078023   000006d0   ---        --------
             169   N   000006d0   00000013   000010e0   ---        --------
             172   N   000010e0   01428293   000010e4   x05_t0     000000e0
             173   N   000010e4   00008282   000010e8   x05_t0     000000f4
             174   N   000010e8   00000013   000000f4   ---        --------
             177   N   000000f4   0000006f   000000f8   ---        --------
             178   N   000000f8   ffffffff   000000f8   ---        --------
